score,id,class,significance,file,line number,procedure,priority,state,finding,owner,url
71,4498848.7545214868,Use of strcpy,Security,sv2x_evtd.c,125,evt_init,HB_PRIO_1,New,TO BE FIXED,"",/warninginstance/7545214868.txt
71,4508878.7545218137,Use of strcpy,Security,sv2x_evtlog.c,53,sv2x_evt_init,HB_PRIO_1,New,None,"",/warninginstance/7545218137.txt
69,9103592.7545226296,Implicit Function Declaration,Style,bsmtransmit.c,451,"",HB_PRIO_1,New,None,"",/warninginstance/7545226296.txt
64,9371258.7545230883,Use After Free,Security,users.c,58,get_aids,HB_PRIO_1,New,None,"",/warninginstance/7545230883.txt
53,1215433.7545230958,Buffer Underrun,Security,stack_in_use.c,34,get_stack,HB_PRIO_1,New,TO BE FIXED,"",/warninginstance/7545230958.txt
53,1215422.7545230959,Buffer Underrun,Security,stack_in_use.c,35,get_stack,HB_PRIO_1,New,TO BE FIXED,"",/warninginstance/7545230959.txt
51,8841500.7545231061,Null Test After Dereference,Reliability,bsmd.c,1736,facility_deinit,HB_PRIO_2,New,None,"",/warninginstance/7545231061.txt
50,1179119.7545213196,Inappropriate Assignment Type,Style,savari_mac.c,34,savari_get_eth_mac,HB_PRIO_2,New,TO BE FIXED,"",/warninginstance/7545213196.txt
50,1179157.7545213339,Side Effects in Logical Operand,Style,dcc.c,340,dccTestReschedule,HB_PRIO_2,New,None,"",/warninginstance/7545213339.txt
50,1201180.7545218383,Malformed switch Statement,Style,libsavarimath.c,89,add_ant_offset_to_gps,HB_PRIO_2,New,None,"",/warninginstance/7545218383.txt
50,1201319.7545219988,Inappropriate Assignment Type,Style,conffileapi.c,68,conffile_parse_buffer,HB_PRIO_2,New,None,"",/warninginstance/7545219988.txt
50,1201340.7545220173,Inappropriate Assignment Type,Style,conffileapi.c,1211,conffile_set,HB_PRIO_2,New,TO BE FIXED,"",/warninginstance/7545220173.txt
50,1207166.7545221878,Inappropriate Assignment Type,Style,str_to_bin.c,35,char_to_int,HB_PRIO_2,New,TO BE FIXED,"",/warninginstance/7545221878.txt
50,1207167.7545221875,Inappropriate Assignment Type,Style,str_to_bin.c,33,char_to_int,HB_PRIO_2,New,TO BE FIXED,"",/warninginstance/7545221875.txt
50,1207168.7545221884,Inappropriate Assignment Type,Style,str_to_bin.c,86,parse_hex,HB_PRIO_2,New,TO BE FIXED,"",/warninginstance/7545221884.txt
50,1207195.7545221880,Malformed for-loop Condition,Style,str_to_bin.c,85,parse_hex,HB_PRIO_2,New,TO BE FIXED,"",/warninginstance/7545221880.txt
50,1209065.7545223236,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,46,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223236.txt
50,1209067.7545223234,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,44,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223234.txt
50,1209073.7545223232,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,42,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223232.txt
50,1209077.7545223230,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,35,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223230.txt
50,1209079.7545223238,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,48,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223238.txt
50,1209080.7545223237,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,47,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223237.txt
50,1209092.7545223235,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,45,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223235.txt
50,1209095.7545223231,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,41,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223231.txt
50,1209096.7545223233,Inappropriate Assignment Type,Style,sv2x_gnssif_test_pvdp.c,43,sv2x_gnss_fill,HB_PRIO_2,New,None,"",/warninginstance/7545223233.txt
50,1212046.7545225784,Inappropriate Assignment Type,Style,libsocket.c,136,tcpc_init,HB_PRIO_2,New,None,"",/warninginstance/7545225784.txt
50,1212058.7545225785,Inappropriate Assignment Type,Style,libsocket.c,140,tcpc_init,HB_PRIO_2,New,None,"",/warninginstance/7545225785.txt
50,2216019.7545224564,Inappropriate Assignment Type,Style,dbglogger.c,29,dbg_log_message,HB_PRIO_2,New,None,"",/warninginstance/7545224564.txt
50,2216022.7545224567,Inappropriate Assignment Type,Style,dbglogger.c,67,init_dbg_logger,HB_PRIO_2,New,None,"",/warninginstance/7545224567.txt
50,2216025.7545224573,Inappropriate Assignment Type,Style,dbglogger.c,109,dbg_log,HB_PRIO_2,New,None,"",/warninginstance/7545224573.txt
50,2217187.7545225986,Inappropriate Assignment Type,Style,libratelimit.c,45,ratelimit,HB_PRIO_2,New,None,"",/warninginstance/7545225986.txt
50,2451919.7545221478,Inappropriate Assignment Type,Style,main.c,28,test_disc2nd_order_lp_filter,HB_PRIO_2,New,None,"",/warninginstance/7545221478.txt
50,2451920.7545221480,Inappropriate Assignment Type,Style,main.c,35,test_disc2nd_order_lp_filter,HB_PRIO_2,New,None,"",/warninginstance/7545221480.txt
50,2451922.7545221483,Inappropriate Assignment Type,Style,main.c,80,main,HB_PRIO_2,New,None,"",/warninginstance/7545221483.txt
50,2455472.7545225824,Inappropriate Assignment Type,Style,libsocket.c,734,sock_set_mcast_if,HB_PRIO_2,New,None,"",/warninginstance/7545225824.txt
50,2455473.7545225825,Inappropriate Assignment Type,Style,libsocket.c,735,sock_set_mcast_if,HB_PRIO_2,New,None,"",/warninginstance/7545225825.txt
50,2455475.7545225827,Inappropriate Assignment Type,Style,libsocket.c,755,sock_set_mcast_if,HB_PRIO_2,New,None,"",/warninginstance/7545225827.txt
50,4491317.7545210229,Non-unique Identifiers: Typedef,Style,bsm_common_fac_iface.h,61,"",HB_PRIO_1,New,None,"",/warninginstance/7545210229.txt
